('v', 'n', 'v'),2571
('v', 'v', 'v'),2392
('n', 'v', 'n'),2233
('v', 'v', 'n'),2207
('n', 'v', 'v'),2122
('v', 'n', 'n'),2047
('n', 'n', 'v'),1932
('n', 'n', 'n'),1391
('v', 'm', 'n'),845
('n', 'd', 'v'),838
('d', 'v', 'v'),779
('d', 'v', 'n'),776
('v', 'd', 'v'),772
('v', 'nr', 'v'),697
('n', 'f', 'v'),649
('v', 'v', 'nr'),614
('v', 'n', 'd'),606
('v', 'a', 'n'),585
('v', 'n', 'f'),582
('a', 'n', 'v'),581
('n', 'v', 'm'),581
('nr', 'v', 'v'),578
('m', 'n', 'v'),570
('nr', 'v', 'n'),545
('v', 'v', 'm'),536
('v', 'v', 'd'),513
('n', 'v', 'nr'),511
('v', 'm', 'v'),501
('v', 'nr', 'n'),487
('n', 'nr', 'v'),482
('v', 'a', 'v'),478
('nr', 'n', 'v'),476
('n', 'v', 'a'),464
('a', 'n', 'n'),448
('v', 'n', 'a'),443
('m', 'n', 'n'),440
('v', 'v', 'a'),437
('n', 'v', 'd'),427
('n', 'a', 'n'),424
('n', 'n', 'd'),418
('v', 'n', 'nr'),416
('a', 'v', 'n'),412
('n', 'a', 'v'),407
('a', 'v', 'v'),399
('n', 'n', 'f'),397
('m', 'v', 'n'),381
('n', 'm', 'n'),369
('d', 'n', 'v'),364
('n', 'f', 'n'),350
('v', 'd', 'n'),346
('m', 'v', 'v'),337
('n', 'n', 'a'),329
('n', 'n', 'nr'),329
('n', 'd', 'n'),317
('v', 'n', 'm'),304
('n', 'nr', 'n'),300
('v', 't', 'v'),300
('f', 'v', 'n'),292
('f', 'v', 'v'),275
('nr', 'n', 'n'),274
('nr', 'd', 'v'),268
('n', 'v', 't'),267
('t', 'v', 'n'),260
('n', 'm', 'v'),258
('v', 'v', 't'),246
('d', 'n', 'n'),243
('n', 'n', 'm'),228
('f', 'n', 'v'),227
('n', 't', 'v'),222
('v', 'n', 't'),215
('v', 's', 'v'),212
('d', 'v', 'm'),209
('v', 'f', 'v'),205
('t', 'v', 'v'),205
('v', 't', 'n'),204
('d', 'v', 'd'),197
('v', 'nr', 'nr'),196
('d', 'v', 'nr'),189
('v', 'nr', 'd'),187
('s', 'v', 'v'),182
('v', 'r', 'v'),182
('v', 'n', 's'),180
('n', 'v', 's'),179
('d', 'v', 'a'),178
('nr', 'v', 'nr'),177
('n', 'v', 'f'),177
('t', 'n', 'v'),176
('v', 'm', 'a'),174
('n', 's', 'v'),173
('m', 'a', 'n'),173
('nr', 'nr', 'v'),161
('v', 'f', 'n'),159
('v', 'v', 's'),158
('s', 'v', 'n'),157
('v', 'l', 'v'),157
('a', 'n', 'd'),151
('v', 'q', 'n'),151
('a', 'd', 'v'),151
('n', 'd', 'a'),150
('d', 'd', 'v'),150
('l', 'v', 'v'),150
('n', 'v', 'l'),150
('r', 'v', 'v'),149
('v', 'v', 'r'),147
('a', 'a', 'n'),145
('f', 'v', 'm'),145
('v', 'v', 'f'),144
('v', 's', 'n'),143
('d', 'a', 'n'),142
('v', 'v', 'l'),141
('t', 'n', 'n'),140
('m', 'n', 'm'),138
('v', 'd', 'a'),138
('n', 't', 'n'),137
('nr', 'v', 'm'),136
('n', 'n', 't'),136
('v', 'r', 'n'),133
('f', 'n', 'n'),133
('d', 'a', 'v'),132
('r', 'v', 'n'),132
('m', 'n', 'd'),131
('n', 'nr', 'd'),128
('v', 'a', 'a'),128
('a', 'n', 'a'),123
('n', 'v', 'r'),123
('l', 'v', 'n'),122
('v', 'ns', 'v'),122
('v', 'n', 'l'),121
('n', 'l', 'v'),121
('v', 'v', 'ns'),119
('s', 'n', 'v'),118
('v', 'm', 'nr'),115
('nr', 'nr', 'n'),115
('v', 'c', 'v'),114
('v', 'n', 'r'),114
('a', 'nr', 'v'),114
('m', 'd', 'v'),114
('v', 'm', 'm'),114
('n', 'f', 'd'),113
('v', 'v', 'q'),112
('n', 'a', 'a'),111
('r', 'n', 'v'),110
('a', 'n', 'nr'),109
('nr', 'n', 'nr'),107
('m', 'v', 'm'),107
('v', 'ns', 'n'),107
('m', 'n', 'nr'),107
('m', 'm', 'n'),106
('v', 'l', 'n'),105
('a', 'v', 'a'),104
('f', 'd', 'v'),104
('n', 'r', 'v'),103
('c', 'v', 'v'),103
('a', 'v', 'd'),103
('m', 'm', 'v'),103
('nr', 'v', 'd'),101
('a', 'n', 'f'),101
('n', 'nr', 'nr'),101
('n', 'd', 'd'),101
('n', 'v', 'ns'),101
('a', 'v', 'nr'),100
('n', 'f', 'm'),99
('a', 'a', 'v'),99
('a', 'v', 'm'),99
('n', 'v', 'q'),99
('l', 'n', 'v'),98
('v', 'a', 'nr'),98
('v', 'd', 'd'),97
('d', 'n', 'd'),97
('v', 'm', 'd'),97
('m', 'n', 'a'),97
('ns', 'v', 'n'),96
('v', 'v', 'vn'),96
('n', 'f', 'a'),95
('nr', 'v', 'a'),95
('v', 'q', 'v'),95
('c', 'v', 'n'),93
('q', 'n', 'v'),93
('t', 'd', 'v'),92
('d', 'nr', 'v'),92
('v', 'n', 'c'),90
('ns', 'n', 'v'),89
('v', 'vn', 'v'),89
('v', 'n', 'ns'),87
('ns', 'v', 'v'),87
('v', 'nr', 'a'),87
('m', 'nr', 'v'),87
('nr', 'm', 'n'),86
('n', 'a', 'd'),85
('n', 'ns', 'v'),85
('s', 'v', 'm'),85
('v', 'a', 'd'),84
('nr', 'n', 'd'),84
('n', 's', 'n'),84
('vn', 'v', 'n'),84
('v', 't', 'd'),84
('d', 'v', 't'),83
('v', 'd', 'nr'),82
('n', 'n', 'l'),82
('v', 'vn', 'n'),82
('v', 'a', 'm'),81
('v', 'v', 'c'),81
('l', 'n', 'n'),81
('n', 'c', 'v'),81
('m', 'v', 'nr'),80
('vn', 'n', 'v'),80
('v', 'i', 'v'),80
('n', 'z', 'v'),79
('nr', 'd', 'n'),79
('nr', 'n', 'f'),79
('m', 'n', 'f'),79
('c', 'n', 'v'),79
('n', 'd', 'm'),79
('n', 'l', 'n'),78
('v', 't', 'nr'),78
('a', 'nr', 'n'),78
('n', 'n', 's'),78
('i', 'v', 'v'),77
('n', 'ns', 'n'),77
