('v', 'v', 'v'),330
('v', 'n', 'v'),283
('v', 'v', 'n'),256
('n', 'v', 'n'),217
('n', 'v', 'v'),214
('v', 'n', 'n'),209
('n', 'n', 'v'),198
('n', 'n', 'n'),145
('v', 'd', 'v'),128
('d', 'v', 'v'),123
('n', 'd', 'v'),110
('d', 'v', 'n'),101
('a', 'n', 'v'),97
('v', 'a', 'n'),96
('v', 'v', 'd'),95
('v', 'a', 'v'),87
('v', 'v', 'a'),82
('v', 'n', 'd'),81
('n', 'f', 'v'),79
('n', 'v', 'a'),78
('v', 'nr', 'v'),75
('v', 'n', 'f'),72
('v', 'm', 'n'),71
('a', 'v', 'v'),70
('n', 'a', 'n'),64
('n', 'v', 'd'),62
('v', 'n', 'a'),62
('a', 'v', 'n'),62
('a', 'n', 'n'),61
('n', 'v', 'm'),60
('v', 'd', 'n'),60
('d', 'n', 'v'),59
('v', 'v', 'm'),59
('nr', 'v', 'v'),59
('n', 'v', 'nr'),55
('v', 'v', 'nr'),55
('m', 'n', 'v'),54
('n', 'a', 'v'),54
('n', 'n', 'd'),47
('nr', 'v', 'n'),47
('d', 'v', 'a'),46
('v', 'm', 'v'),46
('nr', 'd', 'v'),45
('v', 't', 'v'),43
('m', 'v', 'v'),42
('n', 'nr', 'v'),42
('n', 'd', 'n'),42
('v', 'n', 'nr'),41
('m', 'n', 'n'),41
('m', 'v', 'n'),40
('n', 'n', 'f'),39
('v', 'nr', 'n'),38
('v', 'n', 'm'),37
('n', 'm', 'v'),36
('t', 'v', 'v'),35
('a', 'n', 'd'),34
('n', 'm', 'n'),34
('v', 'm', 'a'),34
('m', 'a', 'n'),33
('v', 'nr', 'd'),33
('n', 'n', 'm'),32
('d', 'v', 'd'),32
('d', 'v', 'm'),32
('a', 'a', 'n'),31
('n', 'd', 'a'),31
('f', 'v', 'n'),31
('v', 'c', 'v'),31
('v', 'd', 'a'),30
('d', 'a', 'v'),30
('n', 'n', 'a'),29
('f', 'v', 'v'),29
('d', 'd', 'v'),29
('v', 'v', 't'),29
('t', 'v', 'n'),28
('d', 'n', 'n'),28
('v', 'a', 'a'),28
('n', 'f', 'n'),27
