('v', 'n', 'v'),1336
('n', 'v', 'n'),1220
('v', 'n', 'n'),1146
('v', 'v', 'n'),1120
('v', 'v', 'v'),1084
('n', 'v', 'v'),1066
('n', 'n', 'v'),1033
('n', 'n', 'n'),773
('n', 'd', 'v'),401
('d', 'v', 'n'),383
('v', 'm', 'n'),363
('v', 'nr', 'v'),358
('n', 'f', 'v'),344
('v', 'n', 'f'),313
('v', 'v', 'nr'),308
('d', 'v', 'v'),296
('nr', 'v', 'v'),296
('v', 'd', 'v'),295
('nr', 'v', 'n'),288
('v', 'n', 'd'),284
('n', 'v', 'nr'),264
('n', 'v', 'm'),259
('n', 'nr', 'v'),255
('m', 'n', 'v'),252
('nr', 'n', 'v'),252
('v', 'nr', 'n'),249
('v', 'm', 'v'),235
('n', 'n', 'f'),231
('a', 'n', 'v'),230
('v', 'a', 'n'),221
('v', 'v', 'm'),219
('v', 'n', 'nr'),210
('n', 'n', 'd'),208
('n', 'f', 'n'),205
('m', 'n', 'n'),202
('n', 'v', 'd'),195
('a', 'v', 'n'),195
('v', 'n', 'a'),191
('v', 'a', 'v'),191
('m', 'v', 'n'),187
('n', 'n', 'nr'),185
('n', 'v', 'a'),184
('v', 'v', 'd'),180
('n', 'a', 'n'),179
('n', 'a', 'v'),177
('a', 'n', 'n'),176
('n', 'm', 'n'),167
('n', 'n', 'a'),166
('d', 'n', 'v'),166
('f', 'v', 'n'),159
('n', 'nr', 'n'),158
('m', 'v', 'v'),157
('nr', 'n', 'n'),156
('v', 'v', 'a'),153
('a', 'v', 'v'),152
('n', 'd', 'n'),150
('n', 'v', 't'),148
('v', 'd', 'n'),147
('t', 'v', 'n'),142
('v', 't', 'v'),141
('f', 'n', 'v'),136
('v', 'n', 'm'),135
('f', 'v', 'v'),132
('n', 't', 'v'),123
('nr', 'd', 'v'),120
('v', 'nr', 'nr'),119
('v', 'v', 't'),119
('v', 'n', 't'),117
('v', 't', 'n'),117
('n', 'm', 'v'),115
('n', 'n', 'm'),114
('v', 's', 'v'),111
('d', 'n', 'n'),110
('v', 'r', 'v'),109
('v', 'q', 'n'),106
('v', 'l', 'v'),100
('nr', 'v', 'nr'),99
('n', 'v', 'l'),99
('nr', 'nr', 'v'),99
('n', 'v', 'f'),97
('r', 'v', 'v'),97
('v', 'f', 'v'),97
('n', 'v', 's'),96
('d', 'v', 'nr'),91
('t', 'v', 'v'),91
('l', 'v', 'v'),91
('t', 'n', 'v'),88
('s', 'v', 'n'),87
('v', 's', 'n'),87
('v', 'v', 'l'),86
('s', 'v', 'v'),86
('v', 'n', 's'),84
('r', 'v', 'n'),84
('t', 'n', 'n'),83
('v', 'n', 'l'),83
('v', 'v', 'r'),81
('f', 'n', 'n'),80
('v', 'v', 's'),79
('n', 'n', 't'),78
('nr', 'nr', 'n'),77
('v', 'r', 'n'),77
('n', 't', 'n'),76
('v', 'f', 'n'),76
('s', 'n', 'v'),75
('v', 'nr', 'd'),74
('d', 'v', 'd'),74
('n', 's', 'v'),73
('d', 'v', 'm'),73
('v', 'n', 'r'),73
('l', 'v', 'n'),73
('v', 'l', 'n'),73
('n', 'l', 'v'),70
('q', 'n', 'v'),68
('n', 'v', 'r'),66
('v', 'v', 'f'),66
('v', 'ns', 'v'),65
('nr', 'v', 'm'),65
('r', 'n', 'v'),65
('nr', 'n', 'nr'),63
('m', 'm', 'v'),63
('n', 'r', 'v'),63
('n', 'nr', 'nr'),63
('v', 'm', 'm'),62
('f', 'v', 'm'),62
('d', 'd', 'v'),62
('v', 'v', 'q'),60
('m', 'n', 'd'),59
('m', 'n', 'm'),59
('l', 'n', 'v'),59
('n', 'f', 'd'),59
('n', 'v', 'ns'),58
('v', 'v', 'ns'),57
('ns', 'v', 'n'),56
('m', 'n', 'nr'),56
('v', 'm', 'a'),56
('v', 'v', 'vn'),56
('n', 'f', 'm'),56
('n', 'nr', 'd'),56
('m', 'v', 'm'),55
('a', 'd', 'v'),55
('l', 'n', 'n'),55
('n', 'v', 'q'),54
('f', 'd', 'v'),54
('d', 'a', 'n'),54
('m', 'm', 'n'),53
('a', 'a', 'n'),52
('d', 'nr', 'v'),52
('m', 'a', 'n'),52
('a', 'n', 'd'),52
('v', 'vn', 'n'),51
('v', 'n', 'ns'),50
('v', 'd', 'a'),50
('d', 'v', 'a'),50
('v', 'd', 'nr'),50
('nr', 'n', 'f'),49
('n', 'f', 'a'),49
('a', 'n', 'f'),49
('v', 'ns', 'n'),49
('v', 'q', 'v'),49
('n', 'd', 'd'),49
('nr', 'v', 'a'),46
('q', 'n', 'n'),46
('v', 'c', 'v'),46
('n', 'v', 'vn'),46
('v', 'vn', 'v'),45
('vn', 'v', 'n'),45
('n', 'a', 'a'),44
('n', 's', 'n'),44
('d', 'v', 't'),44
('vn', 'n', 'v'),44
('z', 'v', 'n'),44
('v', 'n', 'vn'),44
('r', 'n', 'n'),44
('n', 'l', 'n'),43
('n', 'n', 's'),43
('v', 'm', 'nr'),43
('t', 'd', 'v'),43
('n', 'n', 'vn'),43
('f', 'm', 'n'),42
('n', 'd', 'a'),42
('d', 'a', 'v'),42
('v', 'a', 'a'),42
('nr', 'm', 'n'),42
('v', 'n', 'i'),42
('m', 'd', 'v'),42
('v', 'a', 'nr'),41
('a', 'n', 'a'),41
('n', 'vn', 'v'),41
('v', 'i', 'v'),41
('s', 'v', 'm'),41
('n', 'n', 'l'),41
('a', 'v', 'd'),41
('m', 'nr', 'v'),41
('n', 'ns', 'v'),40
('a', 'v', 'nr'),40
('nr', 'v', 'd'),40
('i', 'v', 'n'),40
('c', 'v', 'n'),40
('n', 'z', 'v'),40
('v', 'z', 'v'),40
('q', 'v', 'v'),39
('m', 'n', 'a'),39
('ns', 'n', 'v'),39
('vn', 'v', 'v'),39
('n', 'd', 'nr'),39
('c', 'v', 'v'),39
('a', 'n', 'nr'),39
('v', 'nr', 't'),39
('d', 'v', 's'),39
('v', 'n', 'b'),39
('v', 'n', 'c'),39
('v', 'nr', 'a'),38
('ns', 'v', 'v'),38
('n', 'b', 'v'),38
('vn', 'n', 'n'),38
('d', 'n', 'd'),38
('nr', 't', 'v'),37
('v', 't', 'd'),37
('nr', 'd', 'n'),37
('a', 'v', 'a'),37
('v', 'd', 'd'),37
('f', 'v', 'nr'),37
('nr', 'n', 'a'),37
('n', 'c', 'v'),37
('f', 'n', 'f'),36
('nr', 'm', 'v'),36
('n', 'a', 'm'),36
('t', 'nr', 'v'),36
('t', 'n', 'f'),36
('m', 'n', 'f'),36
('d', 'n', 'f'),36
('a', 'nr', 'v'),36
('nr', 'n', 'd'),36
('n', 'n', 'r'),36
('n', 'r', 'n'),36
('c', 'n', 'v'),36
('n', 'a', 'd'),36
('n', 'ns', 'n'),35
('v', 'f', 'm'),35
('nr', 's', 'v'),35
('m', 'v', 'nr'),35
('i', 'v', 'v'),35
('a', 'm', 'n'),34
('n', 'v', 'i'),34
('a', 'nr', 'n'),34
('v', 'v', 'c'),34
('n', 'n', 'b'),34
('d', 'nr', 'n'),34
('v', 'c', 'n'),34
('l', 'nr', 'v'),33
('ns', 'n', 'n'),33
('v', 'z', 'n'),33
('n', 'b', 'n'),33
('n', 'vn', 'n'),33
('nr', 'a', 'n'),32
('v', 't', 'nr'),32
('nr', 'v', 't'),32
('m', 'm', 'm'),32
('n', 'd', 'm'),32
('m', 'v', 'a'),32
('a', 'a', 'v'),32
('f', 'v', 'a'),32
('n', 'i', 'n'),32
('i', 'n', 'v'),32
('nr', 'a', 'v'),32
('n', 'f', 'nr'),32
('t', 'v', 'nr'),31
('n', 'm', 'm'),31
('b', 'v', 'n'),31
('a', 'm', 'v'),31
('v', 'nr', 's'),31
('f', 'a', 'n'),31
('a', 'v', 'm'),31
('c', 'n', 'n'),31
('v', 'm', 'd'),31
('f', 'n', 'd'),30
('d', 'n', 'nr'),30
('m', 'nr', 'n'),30
('m', 'a', 'v'),30
('v', 'n', 'q'),30
('v', 'nr', 'm'),29
('s', 'n', 'n'),29
('z', 'n', 'v'),29
('z', 'n', 'n'),29
('v', 'a', 'm'),29
('n', 'v', 'c'),29
('n', 'v', 'z'),29
('f', 'm', 'v'),29
('nr', 'v', 's'),28
('n', 'q', 'n'),28
('m', 'v', 'd'),28
('nr', 'nr', 'nr'),28
('b', 'v', 'v'),28
('s', 'd', 'v'),28
('v', 'i', 'n'),28
('v', 'b', 'v'),28
('v', 't', 't'),28
('b', 'n', 'n'),28
('n', 'nr', 'a'),27
('b', 'n', 'v'),27
('t', 'v', 'd'),27
('q', 'v', 'n'),27
('d', 'v', 'r'),27
('n', 'c', 'n'),27
('z', 'v', 'v'),26
('t', 'nr', 'n'),26
('n', 'nr', 'm'),26
('l', 'v', 'nr'),26
('n', 'i', 'v'),26
('v', 'a', 'd'),26
('n', 'a', 'nr'),26
('n', 'm', 'd'),26
('n', 'n', 'ns'),25
('f', 'nr', 'v'),25
('a', 'n', 't'),25
('v', 't', 'm'),25
('v', 'l', 'nr'),25
('vn', 'd', 'v'),24
('v', 'f', 'd'),24
('s', 'v', 'nr'),24
('n', 'm', 'a'),24
('l', 'v', 'm'),24
('nr', 'v', 'r'),24
('t', 'm', 'v'),24
('d', 'v', 'q'),24
('v', 'v', 'i'),24
('i', 'n', 'n'),24
('v', 'nz', 'v'),24
('v', 'v', 'z'),23
('l', 'v', 'a'),23
('v', 'm', 't'),23
('a', 'n', 'm'),23
('m', 'v', 't'),23
('v', 'm', 'l'),23
('n', 'n', 'q'),23
('nr', 'v', 'f'),23
('d', 'm', 'v'),23
('n', 't', 'd'),23
('t', 't', 'v'),22
('n', 'm', 'nr'),22
('n', 'f', 'r'),22
('s', 'n', 'f'),22
('n', 't', 'nr'),22
('nr', 'n', 'm'),22
('f', 'v', 'q'),22
('n', 'n', 'c'),22
('m', 'n', 't'),22
('r', 'v', 'nr'),22
('v', 'v', 'b'),22
('t', 'v', 'm'),22
('n', 'l', 'nr'),22
('d', 'v', 'f'),22
('n', 'q', 'v'),21
('v', 't', 'a'),21
('a', 'd', 'n'),21
('v', 'r', 'nr'),21
('v', 'nz', 'n'),21
('d', 'd', 'n'),21
('r', 'nr', 'v'),21
('t', 'v', 'a'),21
('m', 't', 'v'),20
('v', 's', 'f'),20
('m', 'v', 'f'),20
('d', 'm', 'n'),20
('n', 'nrt', 'v'),20
('v', 'l', 'd'),20
('f', 'n', 'a'),20
('n', 'n', 'i'),20
('t', 'd', 'n'),20
('n', 'n', 'z'),20
('d', 't', 'v'),20
('v', 'nr', 'f'),20
('a', 't', 'n'),19
('v', 's', 'nr'),19
('v', 'nr', 'ns'),19
('t', 'm', 'n'),19
('f', 'r', 'v'),19
('d', 'v', 'l'),19
('v', 'vn', 'd'),19
('v', 's', 'm'),19
('v', 'nrt', 'v'),19
('nrt', 'v', 'v'),19
('n', 'nr', 't'),19
('l', 'nr', 'n'),19
('v', 'b', 'n'),19
('d', 'r', 'v'),19
('r', 'v', 'm'),19
('nr', 'v', 'l'),19
('l', 'd', 'v'),19
('d', 'l', 'v'),19
('nz', 'n', 'v'),19
('v', 'a', 'q'),18
('nr', 'f', 'n'),18
('nr', 'v', 'q'),18
('n', 'a', 't'),18
('a', 't', 'v'),18
('n', 'f', 'l'),18
('v', 'v', 'nz'),18
('v', 'm', 'ns'),18
('d', 'v', 'vn'),18
('v', 'n', 'z'),18
('v', 'q', 'nr'),18
('n', 'd', 'vn'),18
('d', 'n', 'm'),18
('f', 'v', 'd'),18
('s', 'nr', 'v'),17
('n', 'ad', 'v'),17
('s', 'n', 'd'),17
('n', 'l', 'a'),17
('l', 'n', 'f'),17
('nr', 'l', 'v'),17
('nr', 'nr', 'd'),17
('v', 'n', 'nrt'),17
('v', 'nrt', 'n'),17
('m', 'd', 'n'),17
('n', 'd', 't'),17
('q', 'd', 'v'),17
('n', 's', 'd'),17
('t', 'n', 'd'),17
('a', 'v', 't'),17
('nr', 't', 'n'),17
('n', 'v', 'b'),17
('nr', 'n', 't'),17
('s', 'a', 'n'),17
('nz', 'n', 'n'),17
('a', 'v', 's'),16
('n', 'n', 'nrt'),16
('v', 'q', 'a'),16
('d', 'n', 't'),16
('t', 'a', 'v'),16
('n', 't', 'm'),16
('ns', 'v', 'm'),16
('nr', 'n', 's'),16
('v', 'v', 'nrt'),16
('m', 'n', 'l'),16
('s', 'm', 'v'),16
('v', 'a', 't'),16
('v', 'm', 'f'),16
('n', 'd', 'r'),16
('v', 's', 'a'),16
('m', 'v', 's'),16
('q', 'n', 'd'),16
('v', 'd', 'l'),16
('a', 'l', 'v'),16
('n', 'd', 'l'),16
('ad', 'v', 'n'),15
('nr', 'ns', 'v'),15
('t', 'n', 'nr'),15
('r', 'v', 'd'),15
('n', 'a', 'l'),15
('nrt', 'v', 'n'),15
('m', 'z', 'n'),15
('v', 'q', 'd'),15
('a', 'v', 'l'),15
('a', 'n', 'l'),15
('s', 'f', 'v'),15
('nr', 'f', 'v'),15
('d', 'a', 'd'),15
('v', 'nr', 'l'),15
('a', 'r', 'v'),15
('r', 'v', 'r'),15
('m', 'v', 'q'),15
('n', 's', 'm'),14
('s', 'm', 'n'),14
('f', 'v', 'f'),14
('v', 'nr', 'r'),14
('v', 'r', 't'),14
('q', 'nr', 'v'),14
('n', 't', 't'),14
('l', 'a', 'v'),14
('m', 'l', 'n'),14
('t', 'v', 'q'),14
('d', 'n', 'a'),14
('n', 'nr', 's'),14
('n', 'v', 'nt'),14
('f', 'v', 'r'),14
('a', 'v', 'r'),14
('m', 'n', 's'),14
('l', 'v', 'd'),14
('f', 'd', 'n'),14
('n', 'v', 'nrt'),14
('v', 's', 'd'),14
('f', 'n', 'nr'),14
('vn', 'v', 'd'),14
('t', 'a', 'n'),14
('m', 'ns', 'v'),14
('n', 's', 'a'),14
('f', 'v', 't'),14
('s', 'v', 'd'),14
('t', 'v', 't'),14
('m', 'l', 'v'),14
('r', 'n', 'nr'),14
('s', 'a', 'v'),13
('a', 'a', 'a'),13
('n', 'f', 's'),13
('t', 'v', 'r'),13
('l', 'm', 'v'),13
('l', 'd', 'n'),13
('t', 'n', 'a'),13
('v', 'v', 'ng'),13
('m', 'ns', 'n'),13
('n', 'z', 'n'),13
('m', 'a', 'nr'),13
('v', 'i', 'd'),13
('ns', 'n', 'nr'),13
('v', 'm', 'r'),13
('v', 'nr', 'c'),13
('r', 'd', 'v'),13
('ns', 'v', 'nr'),13
('n', 'v', 'nz'),13
('i', 'd', 'v'),13
('r', 'n', 'f'),13
('r', 'a', 'v'),13
('t', 'r', 'v'),13
('q', 'nr', 'n'),13
('a', 'm', 'm'),13
('s', 'v', 'a'),13
('d', 'vn', 'v'),13
('v', 'n', 'nz'),13
