('n', 'v', 'n'),492
('v', 'n', 'v'),486
('n', 'v', 'v'),448
('n', 'n', 'v'),428
('v', 'v', 'n'),420
('v', 'n', 'n'),413
('v', 'v', 'v'),390
('n', 'n', 'n'),344
('v', 'm', 'n'),289
('m', 'n', 'v'),196
('n', 'v', 'm'),179
('n', 'd', 'v'),174
('v', 'a', 'n'),161
('a', 'n', 'v'),150
('v', 'v', 'm'),146
('m', 'n', 'n'),142
('nr', 'n', 'v'),139
('a', 'n', 'n'),139
('n', 'f', 'v'),138
('n', 'm', 'n'),136
('d', 'v', 'v'),135
('d', 'v', 'n'),134
('v', 'nr', 'n'),130
('v', 'd', 'v'),129
('v', 'n', 'd'),123
('v', 'nr', 'v'),118
('n', 'v', 'nr'),117
('v', 'v', 'nr'),116
('n', 'a', 'n'),115
('v', 'n', 'f'),114
('nr', 'v', 'n'),112
('v', 'm', 'v'),110
('n', 'v', 'a'),108
('n', 'nr', 'v'),103
('n', 'n', 'd'),101
('v', 'n', 'nr'),96
('nr', 'v', 'v'),90
('v', 'n', 'm'),89
('n', 'nr', 'n'),88
('n', 'n', 'f'),87
('n', 'v', 'd'),86
('v', 'n', 'a'),84
('m', 'v', 'n'),82
('n', 'a', 'v'),82
('v', 'v', 'a'),82
('n', 'n', 'a'),80
('n', 'f', 'n'),78
('v', 'a', 'v'),78
('v', 'v', 'd'),77
('nr', 'n', 'n'),74
('n', 'n', 'nr'),74
('n', 'd', 'n'),72
('a', 'v', 'n'),69
('m', 'v', 'v'),67
('d', 'n', 'v'),67
('n', 'm', 'v'),66
('a', 'v', 'v'),65
('n', 'n', 'm'),61
('f', 'v', 'v'),61
('v', 't', 'v'),61
('t', 'v', 'n'),60
('m', 'a', 'n'),59
('v', 'd', 'n'),59
('f', 'v', 'n'),58
('n', 'v', 't'),56
('d', 'v', 'm'),56
('n', 's', 'v'),55
('m', 'n', 'm'),54
('d', 'n', 'n'),53
('v', 'n', 's'),52
('nr', 'd', 'v'),51
('n', 't', 'v'),50
('v', 'v', 't'),48
('v', 'm', 'a'),47
('v', 'f', 'v'),47
('n', 'v', 's'),46
('f', 'n', 'v'),46
('f', 'v', 'm'),44
('s', 'v', 'v'),44
('t', 'n', 'v'),43
('v', 's', 'v'),41
('a', 'a', 'n'),40
('t', 'v', 'v'),40
('n', 'v', 'f'),40
('n', 'd', 'a'),39
('v', 'nr', 'd'),39
('v', 't', 'n'),39
('m', 'n', 'a'),39
('m', 'n', 'd'),39
('d', 'v', 'a'),38
('nr', 'v', 'nr'),37
('v', 'v', 's'),37
('v', 'f', 'n'),37
('s', 'v', 'n'),37
('n', 'n', 't'),37
('d', 'v', 'd'),37
('v', 'n', 't'),36
('nr', 'v', 'm'),35
('m', 'n', 'nr'),35
('m', 'm', 'n'),35
('d', 'v', 'nr'),35
('a', 'n', 'a'),34
('v', 'm', 'nr'),34
('s', 'n', 'v'),33
('v', 's', 'n'),32
('a', 'n', 'nr'),32
('v', 'nr', 'nr'),32
('t', 'n', 'n'),32
('a', 'n', 'd'),32
('v', 'm', 'm'),32
('n', 'v', 'q'),30
('n', 'n', 'ns'),30
('a', 'n', 'f'),30
('n', 't', 'n'),30
('d', 'a', 'n'),30
('v', 'v', 'f'),29
('nr', 'm', 'n'),29
('m', 'v', 'm'),29
('n', 'nr', 'd'),29
('f', 'n', 'n'),28
('v', 'q', 'n'),28
('s', 'n', 'n'),28
('a', 'n', 'm'),27
('nr', 'n', 'nr'),27
('nr', 'nr', 'v'),26
('m', 'n', 'f'),26
('a', 'v', 'm'),26
('n', 's', 'n'),26
('a', 'd', 'v'),25
('v', 'r', 'v'),25
('v', 'v', 'q'),25
('a', 'nr', 'n'),24
('n', 'v', 'l'),24
('n', 'd', 'm'),24
('nr', 'n', 'd'),24
('n', 'n', 'l'),24
('m', 'd', 'v'),24
('n', 'n', 's'),24
('n', 'c', 'v'),24
('m', 'nr', 'n'),23
('n', 'f', 'm'),23
('n', 'f', 'd'),23
('v', 'ns', 'n'),23
('n', 'a', 'a'),23
('n', 'v', 'r'),23
('d', 'd', 'v'),23
('nr', 'n', 'a'),22
('a', 'nr', 'v'),22
('v', 't', 'd'),22
('d', 'm', 'n'),22
('n', 'a', 'nr'),22
('nr', 'nr', 'n'),22
('v', 'ns', 'v'),22
('v', 'r', 'n'),22
('n', 'v', 'ns'),22
('t', 'd', 'v'),22
('n', 'm', 'm'),22
('c', 'v', 'n'),21
('ns', 'n', 'v'),21
('r', 'v', 'v'),21
('v', 'm', 'd'),21
('n', 'd', 'd'),21
('v', 'q', 'v'),21
('n', 'l', 'n'),21
('s', 'v', 'm'),21
('d', 'a', 'v'),20
('m', 'v', 'a'),20
('t', 'v', 'nr'),20
('ns', 'v', 'v'),20
('m', 'n', 't'),20
('v', 'a', 'a'),20
('v', 'v', 'r'),20
('r', 'n', 'v'),20
('n', 'ns', 'n'),19
('a', 'v', 'nr'),19
('t', 'v', 'm'),19
('nr', 'v', 'd'),19
('v', 'l', 'v'),19
('m', 'nr', 'v'),19
('v', 'n', 'l'),19
('ns', 'v', 'n'),19
('v', 'v', 'l'),19
('m', 'm', 'v'),19
('nr', 'f', 'v'),18
('nr', 'a', 'n'),18
('n', 'ns', 'v'),18
('t', 'm', 'n'),18
('nr', 'd', 'n'),18
('f', 'd', 'v'),18
('n', 'm', 'a'),18
('v', 't', 'nr'),18
('v', 'v', 'ns'),18
('n', 'l', 'v'),18
('n', 'b', 'n'),18
('b', 'v', 'v'),18
('n', 'b', 'v'),18
('a', 'v', 'a'),18
('nr', 'n', 'm'),17
('i', 'v', 'n'),17
('n', 'f', 'a'),17
('n', 'nr', 'nr'),17
('l', 'n', 'v'),17
('n', 'a', 'm'),17
('m', 'v', 'nr'),17
('n', 'f', 'nr'),17
('v', 'nr', 'm'),17
('v', 'nr', 'f'),17
('f', 'n', 'f'),17
('v', 'a', 'm'),17
('l', 'v', 'n'),17
('ns', 'n', 'n'),17
('a', 'm', 'n'),17
('c', 'v', 'v'),17
('n', 'a', 'd'),17
('v', 'n', 'r'),17
('n', 'nr', 'f'),16
('v', 'a', 'nr'),16
('v', 'nr', 'a'),16
('f', 'v', 'nr'),16
('d', 'v', 'f'),16
('nr', 'v', 't'),16
('n', 'm', 'nr'),16
('a', 'm', 'v'),16
('d', 'n', 'a'),16
('f', 'nr', 'v'),16
('n', 'nr', 'm'),16
('d', 'd', 'n'),16
('m', 'n', 's'),16
('d', 'n', 'd'),16
('v', 'v', 'c'),16
('l', 'n', 'n'),16
('d', 'nr', 'n'),16
('c', 'n', 'v'),16
('v', 'n', 'c'),16
('v', 'n', 'b'),16
('nr', 'n', 's'),15
('a', 'a', 'v'),15
('n', 'r', 'n'),15
('n', 'm', 'd'),15
('nr', 'v', 'a'),15
('n', 'i', 'v'),15
('n', 'n', 'c'),15
('s', 'a', 'n'),15
('n', 'n', 'b'),15
('r', 'v', 'n'),15
('v', 'd', 'a'),15
('q', 'n', 'n'),14
('n', 's', 'nr'),14
('s', 'm', 'n'),14
('f', 'm', 'n'),14
('n', 'd', 'l'),14
('q', 'n', 'v'),14
('d', 'v', 't'),14
('r', 'n', 'n'),14
('s', 'd', 'v'),14
('m', 'd', 'n'),14
('v', 'c', 'v'),14
('l', 'v', 'v'),14
('b', 'n', 'v'),14
('v', 'a', 'd'),14
('d', 'n', 'm'),14
('n', 'z', 'v'),14
('q', 'v', 'v'),14
('a', 'n', 's'),13
('f', 'a', 'n'),13
('s', 'nr', 'n'),13
('d', 't', 'v'),13
('v', 'l', 'n'),13
('d', 'm', 'v'),13
('v', 'd', 'd'),13
('v', 'm', 't'),13
('v', 'df', 'v'),13
('c', 'n', 'n'),13
('v', 'd', 'm'),13
('t', 'v', 'a'),13
('m', 't', 'n'),13
('f', 'nr', 'n'),13
('nr', 'f', 'n'),12
('s', 'v', 'nr'),12
('v', 'a', 't'),12
('nr', 'v', 'f'),12
('v', 'd', 't'),12
('df', 'v', 'n'),12
('nr', 'n', 't'),12
('v', 'f', 'nr'),12
('m', 't', 'v'),12
('t', 'nr', 'n'),12
('nr', 't', 'v'),12
('n', 'v', 'b'),12
('m', 'v', 'f'),12
('z', 'v', 'v'),12
('n', 'c', 'n'),12
('v', 'c', 'n'),12
('f', 'n', 'm'),12
('t', 'a', 'v'),12
('n', 'nr', 't'),11
('n', 'v', 'i'),11
('f', 'v', 'a'),11
('nr', 'n', 'f'),11
('a', 't', 'v'),11
('n', 'v', 'ng'),11
('n', 'n', 'i'),11
('f', 'n', 'nr'),11
('ng', 'v', 'n'),11
('f', 'v', 'd'),11
('nr', 'a', 'v'),11
('m', 'v', 'd'),11
('t', 'v', 'd'),11
('f', 'n', 'd'),11
('n', 's', 'a'),11
('nr', 's', 'v'),11
('b', 'v', 'n'),11
('nz', 'v', 'n'),11
('n', 't', 'd'),11
('v', 'n', 'ns'),11
('m', 'a', 'v'),10
('q', 'v', 'n'),10
('n', 'n', 'r'),10
('n', 'r', 'v'),10
('n', 't', 'nr'),10
('t', 'n', 'd'),10
('t', 'nr', 'v'),10
('d', 'n', 't'),10
('r', 'm', 'n'),10
('v', 'b', 'n'),10
('m', 'f', 'v'),10
('f', 'v', 't'),10
('n', 'v', 'c'),10
('v', 'm', 'ns'),10
('v', 'm', 's'),10
('a', 'v', 'd'),10
('v', 'd', 'nr'),10
('v', 'z', 'v'),10
('nr', 'm', 'v'),10
('t', 'n', 'a'),10
('t', 'n', 'm'),10
('i', 'n', 'v'),10
('v', 'nr', 's'),10
('v', 'f', 'm'),10
('v', 'f', 'a'),10
('a', 'v', 't'),10
('t', 'n', 'nr'),9
('s', 'n', 'f'),9
('n', 'z', 'n'),9
('v', 'i', 'v'),9
('n', 'df', 'v'),9
('l', 'nr', 'd'),9
('n', 'ns', 'f'),9
('m', 'n', 'r'),9
('ns', 'v', 'm'),9
('f', 'a', 'a'),9
('d', 'a', 'nr'),9
('v', 't', 'm'),9
('f', 's', 'n'),9
('v', 'n', 'df'),9
('m', 'v', 't'),9
