('v', 'v', 'v'),588
('v', 'n', 'v'),466
('v', 'v', 'n'),411
('n', 'v', 'v'),394
('n', 'v', 'n'),303
('v', 'n', 'n'),279
('n', 'n', 'v'),272
('d', 'v', 'v'),225
('v', 'd', 'v'),220
('v', 'v', 'd'),161
('d', 'v', 'n'),158
('n', 'd', 'v'),153
('v', 'nr', 'v'),146
('v', 'v', 'nr'),135
('nr', 'v', 'v'),133
('n', 'n', 'n'),129
('v', 'a', 'v'),122
('v', 'm', 'n'),122
('v', 'v', 'a'),120
('v', 'n', 'd'),118
('a', 'v', 'v'),112
('v', 'v', 'm'),112
('v', 'm', 'v'),110
('v', 'a', 'n'),107
('v', 'n', 'a'),105
('a', 'n', 'v'),104
('nr', 'v', 'n'),98
('n', 'v', 'a'),94
('n', 'a', 'v'),94
('n', 'f', 'v'),88
('a', 'v', 'n'),86
('n', 'v', 'd'),84
('n', 'v', 'm'),83
('v', 'n', 'f'),83
('n', 'nr', 'v'),82
('v', 'd', 'n'),80
('n', 'v', 'nr'),75
('m', 'v', 'n'),72
('d', 'n', 'v'),72
('a', 'n', 'n'),71
('m', 'v', 'v'),71
('v', 'nr', 'n'),70
('v', 'n', 'nr'),69
('m', 'n', 'v'),68
('n', 'a', 'n'),66
('n', 'n', 'd'),62
('nr', 'n', 'v'),61
('m', 'n', 'n'),55
('v', 't', 'v'),55
('n', 'n', 'a'),54
('d', 'v', 'd'),54
('n', 'd', 'n'),53
('f', 'v', 'v'),53
('d', 'n', 'n'),52
('nr', 'd', 'v'),52
('v', 'v', 't'),50
('n', 'n', 'nr'),49
('d', 'v', 'm'),48
('a', 'd', 'v'),47
('v', 's', 'v'),46
('d', 'v', 'a'),44
('f', 'v', 'n'),44
('v', 'n', 'm'),43
('v', 'd', 'a'),43
('n', 'm', 'v'),41
('v', 'nr', 'd'),41
('n', 'n', 'f'),40
('n', 'v', 't'),40
('n', 'f', 'n'),40
('d', 'a', 'v'),40
('a', 'nr', 'v'),40
('t', 'v', 'v'),39
('v', 'nrt', 'v'),39
('n', 'd', 'a'),38
('v', 'n', 't'),38
('v', 'a', 'a'),38
('d', 'v', 'nr'),38
('v', 'm', 'a'),37
('v', 'v', 'f'),37
('n', 'nr', 'n'),36
('d', 'd', 'v'),36
('a', 'a', 'v'),35
('a', 'v', 'a'),34
('v', 'f', 'v'),34
('v', 'a', 'd'),33
('a', 'n', 'd'),33
('s', 'v', 'v'),33
('l', 'v', 'v'),33
('n', 'm', 'n'),32
('d', 'n', 'd'),32
('d', 'a', 'n'),32
('v', 'f', 'n'),31
('v', 'v', 'r'),31
('t', 'v', 'n'),30
('v', 'v', 's'),30
('v', 'n', 's'),29
('t', 'n', 'v'),29
('n', 's', 'v'),29
('m', 'a', 'n'),29
('a', 'v', 'd'),29
('v', 't', 'n'),28
('a', 'n', 'a'),28
('n', 'a', 'a'),28
('f', 'n', 'v'),27
('a', 'v', 'nr'),27
('n', 't', 'v'),27
('d', 'nr', 'v'),27
('v', 'r', 'v'),27
('a', 'v', 'm'),27
('nr', 'v', 'm'),26
('nr', 'v', 'd'),26
('n', 'v', 'f'),26
('v', 'a', 'nr'),26
('nr', 'n', 'n'),25
('v', 'l', 'v'),25
('n', 'nr', 'd'),25
('v', 'v', 'nrt'),25
('nrt', 'v', 'v'),25
('v', 'm', 'nr'),24
('v', 'd', 'd'),24
('i', 'v', 'v'),24
('n', 'v', 's'),24
('v', 'v', 'l'),24
('v', 'nr', 'nr'),24
('n', 'd', 'd'),24
('v', 'c', 'v'),23
('v', 'v', 'ns'),23
('s', 'v', 'n'),22
('nr', 'v', 'nr'),22
('d', 'n', 'a'),22
('n', 't', 'n'),22
('a', 'n', 'nr'),22
('ns', 'n', 'v'),22
('r', 'v', 'v'),22
('a', 'a', 'n'),22
('c', 'v', 'v'),22
('n', 'n', 'm'),21
('t', 'v', 'd'),21
('v', 'm', 'd'),21
('m', 'd', 'v'),21
('nr', 'v', 'a'),21
('v', 'n', 'c'),21
('v', 'i', 'v'),21
('v', 'a', 'm'),20
('nr', 'nr', 'v'),20
('v', 'v', 'q'),20
('v', 'vn', 'v'),20
('v', 'nr', 'a'),20
('v', 'r', 'n'),20
('n', 'l', 'v'),20
('n', 'f', 'd'),20
('f', 'd', 'v'),20
('n', 'a', 'd'),19
('l', 'v', 'n'),19
('c', 'n', 'v'),19
('a', 'm', 'v'),18
('n', 'v', 'vn'),18
('t', 'd', 'v'),18
('nr', 'd', 'n'),18
('d', 'm', 'v'),18
('v', 'ns', 'n'),18
('v', 'v', 'vn'),18
('v', 'v', 'c'),18
('f', 'v', 'm'),18
('v', 't', 'nr'),17
('m', 'v', 'nr'),17
('m', 'nr', 'v'),17
('v', 'q', 'v'),17
('v', 't', 'd'),17
('vn', 'n', 'v'),17
('m', 'v', 'd'),17
('n', 'v', 'r'),17
('n', 'z', 'v'),16
('s', 'v', 'm'),16
('n', 'a', 'nr'),16
('v', 'd', 'nr'),16
('ns', 'n', 'n'),16
('nr', 'a', 'v'),16
('n', 'v', 'l'),16
('v', 'vn', 'n'),16
('m', 'n', 'd'),16
('v', 'nrt', 'n'),16
('v', 'n', 'vn'),16
('n', 'f', 'a'),15
('c', 'v', 'n'),15
('n', 'r', 'v'),15
('vn', 'd', 'v'),15
('v', 'n', 'ns'),15
('m', 'a', 'v'),15
('n', 'i', 'v'),15
('t', 'nr', 'v'),15
('t', 'n', 'n'),15
('nr', 'd', 'a'),15
('v', 'nr', 'm'),15
('nr', 'm', 'v'),15
('f', 'n', 'n'),15
('n', 'v', 'c'),15
('n', 'ns', 'n'),15
('i', 'v', 'n'),15
('v', 's', 'n'),15
('a', 'd', 'n'),14
('v', 'n', 'r'),14
('nr', 'n', 'd'),14
('v', 'd', 'm'),14
('nr', 'n', 'nr'),14
('m', 'n', 'm'),14
('d', 'v', 'q'),14
('m', 'v', 'm'),14
('a', 'a', 'd'),14
('r', 'v', 'n'),14
('v', 'c', 'n'),14
('r', 'n', 'v'),14
('f', 'v', 'a'),14
('m', 'd', 'n'),13
('vn', 'v', 'n'),13
('l', 'n', 'v'),13
('nr', 'n', 'f'),13
('n', 'nr', 'nr'),13
('n', 'n', 't'),13
('m', 'n', 'a'),13
