('n', 'v', 'n'),2746
('v', 'n', 'v'),2545
('v', 'n', 'n'),2452
('n', 'n', 'v'),2183
('v', 'v', 'n'),2123
('n', 'v', 'v'),1975
('n', 'n', 'n'),1951
('v', 'v', 'v'),1886
('n', 'd', 'v'),876
('d', 'v', 'n'),766
('v', 'm', 'n'),680
('n', 'f', 'v'),659
('d', 'v', 'v'),652
('v', 'd', 'v'),618
('v', 'n', 'd'),591
('v', 'n', 'f'),579
('m', 'n', 'v'),542
('v', 'a', 'n'),513
('n', 'v', 'm'),513
('a', 'n', 'v'),496
('n', 'n', 'd'),481
('m', 'n', 'n'),469
('n', 'a', 'n'),443
('n', 'n', 'f'),436
('a', 'n', 'n'),416
('v', 'nr', 'n'),410
('n', 'v', 'nr'),409
('nr', 'v', 'n'),402
('v', 'v', 'm'),401
('v', 'nr', 'v'),399
('n', 'f', 'n'),396
('v', 'm', 'v'),394
('nr', 'n', 'v'),393
('n', 'v', 'a'),383
('n', 'n', 'a'),377
('f', 'v', 'n'),376
('n', 'm', 'n'),376
('m', 'v', 'n'),373
('n', 'v', 'd'),370
('v', 'n', 'a'),370
('v', 'v', 'd'),367
('v', 'v', 'nr'),359
('n', 'nr', 'v'),343
('d', 'n', 'v'),340
('n', 'd', 'n'),339
('v', 'n', 'nr'),329
('n', 'a', 'v'),326
('nr', 'v', 'v'),320
('v', 'n', 'm'),311
('n', 'nr', 'n'),305
('a', 'v', 'n'),300
('v', 'v', 'a'),288
('n', 'n', 'nr'),278
('nr', 'n', 'n'),273
('v', 'd', 'n'),260
('n', 'm', 'v'),247
('s', 'v', 'n'),247
('a', 'v', 'v'),246
('d', 'v', 'd'),239
('v', 'a', 'v'),235
('n', 'n', 'm'),234
('n', 's', 'v'),234
('f', 'n', 'v'),233
('t', 'v', 'n'),229
('f', 'v', 'v'),227
('d', 'n', 'n'),222
('m', 'v', 'v'),220
('v', 'n', 's'),219
('n', 'v', 's'),218
('v', 't', 'v'),217
('v', 's', 'v'),216
('n', 'v', 't'),213
('n', 't', 'v'),210
('n', 'v', 'ns'),208
('v', 'n', 't'),208
('v', 'ns', 'n'),200
('f', 'n', 'n'),198
('v', 's', 'n'),189
('v', 'ns', 'v'),188
('v', 'v', 's'),185
('t', 'v', 'v'),183
('s', 'n', 'v'),179
('ns', 'n', 'v'),177
('n', 'v', 'f'),175
('v', 'v', 't'),175
('s', 'v', 'v'),169
('n', 's', 'n'),164
('n', 't', 'n'),162
('n', 'n', 's'),156
('v', 'f', 'v'),155
('n', 'n', 't'),155
('nr', 'd', 'v'),155
('v', 't', 'n'),155
('d', 'v', 'm'),155
('t', 'n', 'v'),153
('ns', 'n', 'n'),151
('d', 'd', 'v'),150
('n', 'ns', 'n'),147
('n', 'd', 'a'),147
('v', 'v', 'ns'),143
('ns', 'v', 'n'),141
('v', 'f', 'n'),138
('ns', 'v', 'v'),137
('v', 'n', 'l'),136
('v', 'v', 'f'),135
('s', 'n', 'n'),134
('m', 'a', 'n'),132
('v', 'r', 'v'),129
('v', 'm', 'm'),127
('v', 'n', 'ns'),125
('d', 'v', 'nr'),125
('r', 'v', 'n'),122
('l', 'n', 'v'),122
('n', 'l', 'n'),121
('m', 'v', 'm'),120
('n', 'ns', 'v'),119
('m', 'n', 'm'),118
('t', 'n', 'n'),118
('n', 'v', 'r'),117
('n', 'v', 'l'),117
('d', 'a', 'n'),117
('l', 'v', 'n'),116
('a', 'n', 'd'),116
('n', 'n', 'ns'),115
('f', 'v', 'm'),115
('a', 'n', 'a'),115
('v', 'r', 'n'),114
('d', 'v', 'a'),112
('v', 'd', 'a'),111
('n', 'n', 'l'),111
('v', 'l', 'v'),111
('m', 'n', 'd'),110
('n', 'l', 'v'),108
('m', 'm', 'n'),107
('a', 'd', 'v'),107
('c', 'v', 'n'),104
('n', 'm', 'm'),104
('n', 'd', 'd'),102
('nr', 'n', 'd'),102
('a', 'a', 'n'),100
('n', 'f', 'd'),97
('v', 'v', 'l'),97
('v', 'v', 'r'),96
('v', 'nr', 'd'),95
('n', 'r', 'v'),95
('v', 'm', 'a'),94
('v', 'd', 'd'),94
('nr', 'nr', 'v'),93
('d', 'a', 'v'),92
('n', 'f', 'm'),92
('r', 'v', 'v'),91
('v', 'q', 'n'),90
('l', 'v', 'v'),90
('v', 'l', 'n'),89
('v', 'c', 'v'),89
('v', 'nr', 'nr'),88
('nr', 'v', 'nr'),88
('r', 'n', 'v'),88
('v', 'n', 'r'),88
('d', 'n', 'd'),88
('a', 'n', 'm'),87
('a', 'n', 'f'),87
('v', 'm', 'nr'),86
('l', 'n', 'n'),86
('n', 'a', 'd'),85
('v', 'a', 'nr'),85
('n', 'a', 'a'),85
('m', 'm', 'v'),85
('n', 'nr', 'd'),82
('m', 'd', 'v'),82
('a', 'v', 'a'),81
('n', 'c', 'v'),81
('d', 'm', 'n'),81
('nr', 'n', 'f'),80
('a', 'm', 'n'),80
('f', 'd', 'v'),79
('v', 'n', 'c'),79
('n', 'v', 'c'),79
('m', 'n', 'f'),78
('n', 'n', 'c'),78
('n', 'c', 'n'),78
('a', 'nr', 'n'),78
('a', 'nr', 'v'),78
('v', 'a', 'a'),78
('n', 'a', 'nr'),77
('q', 'n', 'n'),76
('n', 'd', 'm'),75
('m', 'nr', 'n'),75
('a', 'n', 'nr'),75
('m', 'n', 'a'),75
('n', 'v', 'q'),75
('nr', 'v', 'a'),74
('c', 'v', 'v'),73
('nr', 'v', 'm'),73
('nr', 'n', 'nr'),73
('v', 'm', 'd'),71
('f', 'm', 'n'),71
('n', 'n', 'r'),70
('nr', 'v', 'd'),70
('c', 'n', 'v'),70
('c', 'n', 'n'),70
('nr', 'm', 'n'),69
('t', 'd', 'v'),69
('r', 'n', 'n'),68
('d', 'v', 't'),65
('n', 'r', 'n'),65
