('n', 'v', 'n'),896
('v', 'n', 'v'),826
('v', 'n', 'n'),770
('n', 'n', 'n'),706
('n', 'n', 'v'),704
('v', 'v', 'n'),691
('v', 'v', 'v'),678
('n', 'v', 'v'),642
('n', 'd', 'v'),277
('v', 'm', 'n'),246
('d', 'v', 'n'),243
('n', 'f', 'v'),240
('v', 'n', 'f'),206
('d', 'v', 'v'),204
('v', 'n', 'd'),198
('v', 'd', 'v'),196
('m', 'n', 'v'),178
('n', 'v', 'm'),172
('n', 'a', 'n'),167
('v', 'a', 'n'),164
('n', 'n', 'f'),162
('n', 'n', 'd'),160
('m', 'n', 'n'),159
('a', 'n', 'v'),158
('a', 'n', 'n'),149
('v', 'v', 'm'),148
('v', 'm', 'v'),145
('n', 'n', 'a'),141
('f', 'v', 'n'),139
('n', 'f', 'n'),138
('m', 'v', 'n'),135
('v', 'n', 'a'),129
('n', 'v', 'a'),129
('nr', 'n', 'v'),126
('n', 'm', 'n'),123
('n', 'v', 'nr'),119
('v', 'v', 'd'),116
('n', 'a', 'v'),115
('n', 'v', 'd'),115
('v', 'nr', 'n'),113
('nr', 'v', 'n'),106
('v', 'nr', 'v'),105
('a', 'v', 'n'),103
('v', 'n', 'm'),101
('n', 'd', 'n'),100
('n', 'm', 'v'),96
('v', 'v', 'nr'),95
('d', 'n', 'v'),94
('v', 'n', 'nr'),94
('n', 'nr', 'n'),94
('v', 'd', 'n'),91
('a', 'v', 'v'),90
('f', 'v', 'v'),88
('d', 'v', 'd'),87
('n', 'nr', 'v'),87
('f', 'n', 'v'),86
('nr', 'n', 'n'),84
('v', 'v', 'a'),84
('d', 'n', 'n'),79
('n', 'n', 'm'),78
('s', 'v', 'n'),78
('m', 'v', 'v'),78
('nr', 'v', 'v'),77
('v', 'n', 's'),75
('v', 'a', 'v'),73
('n', 's', 'v'),71
('n', 'n', 'nr'),71
('t', 'v', 'n'),70
('n', 't', 'v'),69
('f', 'n', 'n'),69
('v', 'n', 't'),68
('v', 'v', 's'),68
('v', 's', 'v'),67
('n', 't', 'n'),67
('n', 'v', 't'),66
('t', 'v', 'v'),63
('v', 't', 'v'),63
('n', 'v', 's'),62
('v', 'f', 'v'),61
('n', 'v', 'f'),59
('n', 's', 'n'),59
('s', 'v', 'v'),58
('s', 'n', 'v'),57
('t', 'n', 'v'),56
('n', 'n', 's'),55
('v', 'm', 'm'),55
('m', 'v', 'm'),54
('v', 's', 'n'),54
('d', 'd', 'v'),52
('s', 'n', 'n'),52
('n', 'd', 'a'),51
('v', 'r', 'v'),50
('m', 'n', 'm'),50
('v', 'v', 't'),50
('v', 'v', 'f'),49
('a', 'n', 'a'),49
('v', 'ns', 'n'),48
('v', 'f', 'n'),48
('n', 'v', 'ns'),47
('n', 'v', 'r'),45
('m', 'a', 'n'),45
('d', 'a', 'n'),45
('n', 'n', 't'),45
('v', 't', 'n'),44
('t', 'n', 'n'),44
('d', 'v', 'm'),44
('v', 'ns', 'v'),44
('m', 'm', 'n'),44
('ns', 'n', 'n'),43
('l', 'v', 'n'),42
('r', 'v', 'n'),41
('v', 'v', 'ns'),41
('f', 'v', 'm'),41
('a', 'm', 'n'),40
('a', 'd', 'v'),40
('v', 'd', 'a'),39
('n', 'v', 'l'),39
('n', 'n', 'ns'),39
('v', 'd', 'd'),39
('a', 'a', 'n'),39
('v', 'n', 'l'),38
('v', 'r', 'n'),38
('d', 'v', 'a'),37
('n', 'a', 'a'),37
('n', 'f', 'd'),37
('r', 'n', 'v'),37
('v', 'l', 'v'),37
('v', 'q', 'n'),37
('n', 'm', 'm'),37
('n', 'l', 'v'),36
('n', 'ns', 'v'),35
('v', 'n', 'r'),35
('m', 'n', 'd'),35
('m', 'm', 'v'),35
('a', 'n', 'm'),34
('ns', 'v', 'v'),34
('v', 'm', 'a'),34
('d', 'a', 'v'),34
('a', 'v', 'a'),34
('n', 'n', 'l'),33
('m', 'n', 'a'),33
('a', 'n', 'f'),33
('v', 'v', 'l'),33
('n', 'ns', 'n'),32
('ns', 'n', 'v'),32
('c', 'v', 'n'),32
('a', 'nr', 'n'),31
('l', 'n', 'v'),31
('v', 'v', 'r'),31
('ns', 'v', 'n'),31
('v', 'l', 'n'),30
('v', 'a', 'm'),30
('q', 'n', 'n'),30
('n', 'r', 'n'),30
('m', 'n', 'f'),29
('n', 'd', 'd'),29
('l', 'n', 'n'),29
('a', 'n', 'd'),29
('n', 'd', 'm'),29
('n', 'n', 'ng'),29
('r', 'v', 'v'),27
('n', 'f', 'm'),27
('v', 'c', 'v'),27
('n', 'r', 'v'),27
('n', 'c', 'n'),27
('nr', 'd', 'v'),27
('nr', 'nr', 'v'),26
('f', 'm', 'n'),26
('t', 'd', 'v'),26
('n', 'a', 'm'),26
('m', 'v', 'd'),26
('n', 'a', 'd'),26
('m', 'd', 'v'),26
('a', 'a', 'v'),26
('n', 'v', 'q'),25
('v', 'nr', 'd'),25
('d', 'n', 'd'),25
('f', 'd', 'v'),25
('z', 'n', 'n'),25
('v', 'n', 'ng'),25
('n', 'n', 'r'),25
('n', 'a', 'nr'),25
('v', 'nr', 'nr'),25
('l', 'v', 'v'),25
('n', 'v', 'c'),25
('nr', 'n', 'd'),25
('r', 'n', 'n'),25
('a', 'v', 'm'),24
('n', 'l', 'n'),24
('nr', 'm', 'n'),24
('i', 'v', 'v'),24
('v', 'n', 'c'),24
('v', 'n', 'ns'),24
('l', 'd', 'v'),24
('m', 'n', 'nr'),23
('m', 'nr', 'n'),23
('n', 'ng', 'v'),23
('n', 'nr', 'nr'),23
('f', 'n', 'f'),23
('v', 'a', 'a'),23
('v', 'a', 'nr'),23
('a', 'n', 'nr'),22
('n', 'v', 'i'),22
('m', 'm', 'm'),22
('d', 'v', 'nr'),22
('f', 'v', 'a'),21
('v', 'a', 'd'),21
('m', 'n', 't'),21
('n', 'z', 'n'),21
('n', 'n', 'c'),21
('c', 'n', 'v'),21
('s', 'd', 'v'),21
('d', 'v', 't'),21
('nr', 'a', 'n'),21
('n', 'i', 'n'),21
('n', 'nr', 'd'),21
('v', 'm', 'nr'),21
('m', 't', 'v'),20
('n', 'f', 'a'),20
('c', 'n', 'n'),20
('i', 'n', 'v'),20
('m', 'f', 'v'),20
('i', 'n', 'n'),20
('z', 'v', 'n'),20
('nr', 'v', 'a'),20
('v', 'm', 't'),19
('s', 'v', 'm'),19
('f', 'v', 'nr'),19
('n', 'c', 'v'),19
('nr', 'v', 'm'),19
('v', 'm', 'd'),19
('v', 'c', 'n'),19
('v', 'i', 'n'),19
('n', 'ng', 'n'),19
('s', 'v', 'nr'),19
('v', 'nr', 'a'),19
('n', 'z', 'v'),19
('v', 'n', 'i'),19
('nr', 'n', 'nr'),19
('n', 'm', 'nr'),18
('f', 'v', 'd'),18
('n', 'vn', 'n'),18
('d', 'n', 'a'),18
('v', 'd', 'nr'),18
('v', 'i', 'v'),18
('i', 'v', 'n'),18
