('v', 'n', 'v'),111
('n', 'v', 'n'),99
('v', 'n', 'n'),94
('v', 'v', 'n'),75
('v', 'v', 'v'),73
('n', 'n', 'v'),73
('n', 'v', 'v'),72
('n', 'n', 'n'),70
('n', 'd', 'v'),44
('d', 'v', 'v'),44
('d', 'v', 'n'),33
('n', 'v', 'm'),29
('v', 'd', 'v'),29
('v', 'nr', 'v'),27
('nr', 'v', 'n'),27
('v', 'a', 'n'),27
('v', 'n', 'd'),27
('n', 'n', 'd'),26
('v', 'm', 'n'),24
('n', 'v', 'nr'),22
('a', 'n', 'v'),22
('n', 'd', 'n'),22
('v', 'v', 'nr'),22
('v', 'm', 'v'),20
('a', 'n', 'n'),20
('m', 'n', 'v'),19
('m', 'n', 'n'),19
('nr', 'v', 'v'),19
('d', 'n', 'v'),19
('v', 'v', 'd'),19
('n', 'a', 'n'),19
('a', 'v', 'n'),18
('v', 'v', 'm'),18
('v', 'v', 'a'),18
('n', 'v', 'd'),18
('n', 's', 'v'),17
('n', 'nr', 'v'),17
('n', 'v', 'a'),17
('n', 'a', 'v'),16
('v', 't', 'v'),16
('ns', 'v', 'v'),16
('s', 'v', 'n'),15
('n', 'n', 'm'),15
('v', 'v', 't'),15
('v', 'n', 's'),15
('v', 'n', 'f'),14
('v', 'a', 'v'),14
('v', 'nr', 'n'),14
('n', 'f', 'v'),14
('m', 'v', 'n'),14
('t', 'v', 'n'),14
('m', 'v', 'v'),14
('n', 'v', 's'),14
('n', 'n', 's'),13
('nr', 'n', 'v'),13
('n', 'n', 'a'),13
('v', 'n', 'l'),13
('n', 'f', 'n'),12
('v', 'ns', 'v'),12
('n', 'n', 'nr'),12
('nr', 'd', 'v'),12
('v', 'n', 'a'),11
('v', 'n', 'm'),11
('d', 'm', 'n'),11
('v', 'c', 'v'),11
('c', 'v', 'n'),11
('n', 'n', 'f'),11
('m', 'n', 'd'),10
('n', 'd', 'a'),10
('t', 'n', 'v'),10
('nr', 'n', 'n'),10
('f', 'v', 'n'),10
('n', 'd', 'm'),10
('n', 'v', 'c'),10
('v', 's', 'v'),10
('v', 'n', 'nr'),10
('d', 'n', 'n'),10
('v', 's', 'n'),10
('v', 'n', 't'),9
('n', 'm', 'v'),9
('n', 'ns', 'v'),9
('l', 'n', 'v'),9
