('n', 'v', 'n'),685
('v', 'n', 'n'),611
('n', 'n', 'v'),579
('v', 'n', 'v'),573
('n', 'v', 'v'),499
('v', 'v', 'n'),483
('n', 'n', 'n'),428
('v', 'v', 'v'),315
('n', 'd', 'v'),156
('v', 'm', 'n'),136
('d', 'v', 'n'),121
('m', 'n', 'v'),120
('a', 'n', 'v'),117
('n', 'f', 'v'),116
('v', 'a', 'n'),112
('v', 'nr', 'n'),109
('v', 'n', 'f'),105
('n', 'v', 'nr'),103
('nr', 'v', 'n'),99
('n', 'a', 'n'),97
('d', 'v', 'v'),95
('a', 'n', 'n'),95
('nr', 'n', 'v'),95
('n', 'n', 'd'),93
('n', 'f', 'n'),89
('n', 'v', 'a'),88
('v', 'n', 'd'),87
('m', 'n', 'n'),86
('n', 'nr', 'v'),85
('n', 'v', 'm'),85
('v', 'nr', 'v'),84
('v', 'n', 'nr'),83
('v', 'd', 'v'),83
('n', 'n', 'a'),82
('n', 'm', 'n'),82
('v', 'v', 'm'),82
('v', 'v', 'nr'),81
('n', 'n', 'f'),79
('v', 'n', 'a'),79
('f', 'v', 'n'),73
('v', 'n', 'm'),73
('n', 'n', 'nr'),70
('nr', 'v', 'v'),69
('n', 'a', 'v'),69
('n', 'nr', 'n'),69
('m', 'v', 'n'),68
('v', 'v', 'a'),67
('n', 'd', 'n'),64
('n', 'v', 's'),64
('nr', 'n', 'n'),63
('n', 'v', 'd'),62
('a', 'v', 'n'),59
('f', 'n', 'v'),58
('s', 'v', 'n'),57
('d', 'n', 'v'),55
('v', 's', 'n'),52
('v', 's', 'v'),52
('n', 'v', 'ns'),51
('v', 'n', 's'),50
('n', 's', 'v'),50
('s', 'n', 'v'),50
('n', 'v', 't'),49
('v', 'a', 'v'),47
('a', 'v', 'v'),45
('v', 'm', 'v'),45
('f', 'n', 'n'),44
('n', 'v', 'f'),44
('n', 's', 'n'),43
('n', 'm', 'v'),42
('t', 'n', 'v'),40
('f', 'v', 'v'),39
('t', 'v', 'n'),39
('v', 'v', 'd'),39
('v', 'v', 's'),39
('s', 'v', 'v'),39
('ns', 'n', 'v'),38
('n', 'n', 'm'),37
('v', 't', 'v'),37
('n', 'n', 's'),36
('d', 'n', 'n'),35
('v', 'd', 'n'),35
('v', 't', 'n'),35
('v', 'ns', 'v'),34
('n', 't', 'n'),34
('s', 'n', 'n'),33
('n', 'ns', 'n'),32
('n', 'n', 't'),32
('ns', 'v', 'n'),32
('v', 'n', 't'),32
('nr', 'd', 'v'),32
('t', 'v', 'v'),31
('m', 'a', 'n'),31
('v', 'f', 'n'),31
('v', 'ns', 'n'),30
('n', 't', 'v'),30
('v', 'v', 't'),30
('v', 'n', 'ns'),28
('n', 'v', 'r'),28
('v', 'r', 'n'),28
