('n', 'v', 'n'),1066
('v', 'n', 'v'),1035
('v', 'n', 'n'),977
('v', 'v', 'n'),874
('n', 'n', 'v'),827
('v', 'v', 'v'),820
('n', 'v', 'v'),762
('n', 'n', 'n'),747
('n', 'd', 'v'),399
('d', 'v', 'n'),369
('v', 'd', 'v'),310
('d', 'v', 'v'),309
('n', 'f', 'v'),289
('v', 'n', 'd'),279
('v', 'm', 'n'),274
('v', 'n', 'f'),254
('n', 'v', 'm'),227
('m', 'n', 'v'),225
('v', 'a', 'n'),210
('m', 'n', 'n'),205
('n', 'n', 'd'),202
('a', 'n', 'v'),199
('v', 'v', 'd'),193
('v', 'm', 'v'),184
('n', 'n', 'f'),184
('v', 'nr', 'v'),183
('n', 'v', 'd'),175
('v', 'nr', 'n'),174
('d', 'n', 'v'),172
('nr', 'v', 'n'),170
('n', 'v', 'nr'),165
('n', 'm', 'n'),163
('v', 'v', 'nr'),160
('n', 'a', 'n'),160
('nr', 'n', 'v'),159
('n', 'f', 'n'),157
('m', 'v', 'n'),156
('nr', 'v', 'v'),155
('f', 'v', 'n'),154
('n', 'nr', 'v'),154
('n', 'd', 'n'),153
('v', 'v', 'm'),153
('a', 'n', 'n'),152
('v', 'n', 'a'),151
('n', 'v', 'a'),149
('v', 'n', 'nr'),142
('n', 'n', 'a'),141
('n', 'nr', 'n'),135
('v', 'd', 'n'),128
('v', 'n', 'm'),126
('n', 'a', 'v'),126
('d', 'v', 'd'),125
('n', 'n', 'nr'),125
('a', 'v', 'n'),120
('v', 'v', 'a'),119
('v', 'ns', 'n'),116
('nr', 'n', 'n'),116
('t', 'v', 'n'),106
('n', 'n', 'm'),104
('n', 'v', 'ns'),104
('n', 't', 'v'),104
('a', 'v', 'v'),103
('m', 'v', 'v'),102
('v', 'a', 'v'),101
('v', 't', 'v'),101
('n', 'm', 'v'),100
('ns', 'n', 'v'),100
('v', 'n', 't'),99
('d', 'n', 'n'),98
('v', 'ns', 'v'),98
('s', 'v', 'n'),97
('n', 's', 'v'),96
('f', 'v', 'v'),95
('n', 'v', 't'),89
('v', 's', 'v'),87
('f', 'n', 'v'),85
('nr', 'd', 'v'),84
('d', 'v', 'm'),83
('t', 'v', 'v'),81
('n', 'ns', 'n'),81
('v', 'v', 't'),80
('v', 'v', 'ns'),80
('v', 'n', 's'),79
('f', 'n', 'n'),79
('n', 'v', 's'),78
('d', 'd', 'v'),78
('ns', 'n', 'n'),77
('v', 'n', 'l'),74
('v', 's', 'n'),73
('v', 'v', 's'),73
('v', 't', 'n'),73
('n', 'l', 'n'),72
('ns', 'v', 'n'),72
('n', 'n', 't'),71
('d', 'v', 'nr'),71
('n', 'v', 'f'),69
('v', 'n', 'ns'),67
('ns', 'v', 'v'),67
('s', 'v', 'v'),65
('s', 'n', 'v'),64
('v', 'f', 'v'),64
('n', 'd', 'a'),63
('n', 'v', 'l'),62
('v', 'l', 'v'),60
('l', 'n', 'v'),59
('f', 'v', 'm'),59
('n', 'd', 'd'),59
('v', 'v', 'f'),59
('n', 'n', 'l'),58
('l', 'v', 'n'),57
('n', 's', 'n'),56
('n', 'ns', 'v'),56
('v', 'd', 'a'),56
('n', 'f', 'm'),55
('n', 'l', 'v'),55
('a', 'n', 'd'),55
('v', 'f', 'n'),55
('t', 'n', 'n'),54
('m', 'n', 'm'),54
('n', 't', 'n'),53
('m', 'v', 'm'),53
('n', 'n', 'ns'),53
('v', 'm', 'm'),53
('n', 'n', 's'),52
('d', 'a', 'n'),52
('nr', 'n', 'd'),52
('d', 'v', 'a'),51
('l', 'v', 'v'),51
('n', 'v', 'nrt'),51
('m', 'a', 'n'),50
('m', 'n', 'd'),50
('v', 'v', 'l'),50
('n', 'm', 'm'),50
('c', 'v', 'n'),50
('v', 'r', 'v'),50
('r', 'v', 'n'),50
('m', 'd', 'v'),49
('v', 'm', 'nr'),49
('m', 'm', 'n'),48
('nr', 'n', 'f'),48
('d', 'n', 'd'),47
('v', 'd', 'd'),47
('t', 'n', 'v'),47
('a', 'd', 'v'),46
('n', 'c', 'v'),46
('a', 'a', 'n'),46
('ns', 'v', 'ns'),46
('v', 'nr', 'd'),46
('v', 'c', 'v'),46
('r', 'v', 'v'),45
('v', 'a', 'nr'),45
('n', 'r', 'v'),45
('a', 'n', 'a'),43
('nr', 'v', 'nr'),43
('nrt', 'v', 'n'),43
('c', 'v', 'v'),42
('nr', 'nr', 'v'),42
('n', 'nr', 'd'),41
('m', 'm', 'v'),41
('d', 'm', 'n'),41
('n', 'n', 'c'),41
('v', 'l', 'n'),41
('s', 'n', 'n'),41
('v', 'v', 'r'),41
('v', 'r', 'n'),41
('nr', 'v', 'a'),41
('nr', 'v', 'm'),40
('v', 'm', 'd'),40
('n', 'v', 'r'),40
('ns', 'd', 'v'),40
('d', 'v', 'ns'),40
('v', 'ns', 'ns'),40
('n', 'f', 'd'),39
('l', 'n', 'n'),39
('d', 'd', 'n'),38
('v', 'v', 'c'),38
('f', 'm', 'n'),38
('c', 'n', 'v'),38
('a', 'nr', 'v'),38
('d', 'a', 'v'),38
('v', 'nrt', 'v'),38
('v', 'n', 'c'),37
('m', 'nr', 'n'),37
('n', 'a', 'd'),37
('d', 'l', 'ns'),37
('v', 'n', 'i'),37
('v', 'a', 'a'),37
('v', 'm', 'a'),36
('f', 'd', 'v'),36
('n', 'a', 'a'),36
('v', 'nr', 'nr'),36
('c', 'n', 'n'),36
('v', 'd', 'm'),35
('nr', 'n', 'nr'),35
('v', 'nrt', 'n'),35
('a', 'n', 'f'),34
('n', 'c', 'n'),34
('nr', 'd', 'n'),34
('a', 'n', 'm'),33
('n', 'f', 'nr'),33
('n', 'v', 'c'),33
('n', 'a', 'nr'),33
('a', 'n', 'nr'),32
('v', 'n', 'r'),32
('ns', 'n', 'd'),32
('d', 'v', 't'),32
('d', 'v', 's'),32
('nr', 'v', 'd'),32
('v', 'n', 'nrt'),32
('nr', 'm', 'v'),31
('a', 'd', 'n'),31
